iter	Passed	Remaining
605	2256	1466
606	2259	1463
607	2263	1459
608	2266	1455
609	2270	1451
610	2274	1447
611	2277	1444
612	2281	1440
613	2284	1436
614	2288	1432
615	2292	1429
616	2296	1425
617	2299	1421
618	2303	1418
619	2307	1414
620	2309	1409
621	2313	1405
622	2317	1402
623	2320	1398
624	2324	1394
625	2328	1391
626	2332	1387
627	2335	1383
628	2340	1380
629	2344	1376
630	2347	1372
631	2351	1369
632	2354	1365
633	2358	1361
634	2362	1357
635	2365	1354
636	2369	1350
637	2373	1346
638	2377	1343
639	2381	1339
640	2384	1335
641	2388	1331
642	2392	1328
643	2395	1324
644	2399	1320
645	2403	1316
646	2406	1313
647	2409	1309
648	2413	1305
649	2416	1301
650	2420	1297
651	2423	1293
652	2427	1289
653	2430	1285
654	2434	1282
655	2437	1278
656	2441	1274
657	2444	1270
658	2449	1267
659	2452	1263
660	2457	1260
661	2462	1257
662	2465	1253
663	2469	1249
664	2473	1245
665	2477	1242
666	2481	1238
667	2484	1234
668	2487	1230
669	2491	1226
670	2495	1223
671	2499	1219
672	2502	1216
673	2506	1212
674	2510	1208
675	2514	1205
676	2519	1202
677	2523	1198
678	2526	1194
679	2531	1191
680	2535	1187
681	2539	1184
682	2544	1180
683	2548	1177
684	2553	1174
685	2557	1170
686	2561	1166
687	2565	1163
688	2568	1159
689	2572	1155
690	2576	1152
691	2580	1148
692	2583	1144
693	2586	1140
694	2590	1136
695	2593	1132
696	2597	1129
697	2600	1125
698	2604	1121
699	2607	1117
700	2611	1114
701	2615	1110
702	2619	1106
703	2623	1103
704	2642	1105
705	2645	1101
706	2649	1097
707	2652	1094
708	2656	1090
709	2660	1086
710	2663	1082
711	2667	1078
712	2671	1075
713	2675	1071
714	2679	1068
715	2683	1064
716	2687	1060
717	2691	1057
718	2696	1053
719	2699	1049
720	2703	1046
721	2708	1042
722	2712	1039
723	2715	1035
724	2719	1031
725	2722	1027
726	2726	1023
727	2730	1020
728	2733	1016
729	2737	1012
730	2741	1008
731	2744	1004
732	2748	1001
733	2751	997
734	2755	993
735	2758	989
736	2762	985
737	2766	981
738	2769	978
739	2772	974
740	2776	970
741	2780	966
742	2784	963
743	2787	959
744	2791	955
745	2795	951
746	2799	948
747	2803	944
748	2807	940
749	2810	936
750	2816	933
751	2820	930
752	2824	926
753	2829	923
754	2834	919
755	2838	916
756	2842	912
757	2846	908
758	2851	905
759	2855	901
760	2860	898
761	2865	894
762	2868	891
763	2872	887
764	2876	883
765	2880	880
766	2885	876
767	2888	872
768	2893	869
769	2896	865
770	2900	861
771	2905	857
772	2909	854
773	2913	850
774	2916	846
775	2920	843
776	2924	839
777	2929	835
778	2934	832
779	2938	828
780	2942	825
781	2945	821
782	2949	817
783	2953	813
784	2956	809
785	2960	805
786	2963	802
787	2966	798
788	2970	794
789	2973	790
790	2977	786
791	2980	782
792	2983	778
793	2987	775
794	2991	771
795	2995	767
796	2998	763
797	3002	759
798	3005	756
799	3010	752
800	3014	748
801	3017	745
802	3021	741
803	3024	737
804	3028	733
805	3031	729
806	3035	725
807	3039	722
808	3042	718
809	3046	714
810	3049	710
811	3052	706
812	3056	702
813	3059	699
814	3062	695
815	3066	691
816	3069	687
817	3073	683
818	3076	679
819	3079	676
820	3083	672
821	3086	668
822	3090	664
823	3093	660
824	3097	656
825	3100	653
826	3103	649
827	3107	645
828	3111	641
829	3115	638
830	3119	634
831	3123	630
832	3127	626
833	3130	623
834	3134	619
835	3138	615
836	3141	611
837	3145	608
838	3149	604
839	3153	600
840	3157	596
841	3161	593
842	3164	589
843	3168	585
844	3172	581
845	3175	578
846	3179	574
847	3182	570
848	3186	566
849	3190	563
850	3194	559
851	3197	555
852	3201	551
853	3204	547
854	3208	544
855	3212	540
856	3215	536
857	3219	532
858	3222	528
859	3226	525
860	3229	521
861	3233	517
862	3237	513
863	3240	510
864	3244	506
865	3248	502
866	3252	498
867	3255	495
868	3259	491
869	3262	487
870	3265	483
871	3270	480
872	3273	476
873	3278	472
874	3283	469
875	3287	465
876	3291	461
877	3294	457
878	3298	454
879	3301	450
880	3305	446
881	3308	442
882	3311	438
883	3315	435
884	3319	431
885	3322	427
886	3326	423
887	3329	419
888	3333	416
889	3336	412
890	3340	408
891	3344	404
892	3347	401
893	3351	397
894	3354	393
895	3358	389
896	3361	386
897	3365	382
898	3368	378
899	3372	374
900	3375	370
901	3378	367
902	3382	363
903	3385	359
904	3389	355
905	3393	352
906	3397	348
907	3400	344
908	3409	341
909	3412	337
910	3416	333
911	3419	329
912	3423	326
913	3427	322
914	3431	318
915	3434	314
916	3438	311
917	3442	307
918	3446	303
919	3450	300
920	3453	296
921	3456	292
922	3460	288
923	3463	284
924	3467	281
925	3471	277
926	3475	273
927	3478	269
928	3482	266
929	3486	262
930	3489	258
931	3493	254
932	3498	251
933	3501	247
934	3505	243
935	3508	239
936	3511	236
937	3515	232
938	3519	228
939	3523	224
940	3527	221
941	3531	217
942	3534	213
943	3539	209
944	3542	206
945	3547	202
946	3552	198
947	3555	195
948	3560	191
949	3565	187
950	3569	183
951	3573	180
952	3577	176
953	3581	172
954	3586	168
955	3590	165
956	3594	161
957	3598	157
958	3601	153
959	3606	150
960	3610	146
961	3615	142
962	3619	139
963	3623	135
964	3628	131
965	3632	127
966	3638	124
967	3642	120
968	3645	116
969	3649	112
970	3652	109
971	3656	105
972	3670	101
973	3674	98
974	3678	94
975	3681	90
976	3685	86
977	3689	82
978	3692	79
979	3696	75
980	3699	71
981	3704	67
982	3709	64
983	3712	60
984	3715	56
985	3719	52
986	3723	49
987	3726	45
988	3730	41
989	3733	37
990	3737	33
991	3740	30
992	3744	26
993	3747	22
994	3751	18
995	3754	15
996	3758	11
997	3761	7
998	3764	3
999	3782	0
