iter	RMSE
136	45937.94077
137	45901.41119
138	45842.82623
139	45753.99805
140	45703.87639
141	45691.40275
142	45638.48275
143	45583.82732
144	45501.1052
145	45428.84265
146	45388.64278
147	45330.46307
148	45276.8137
149	45212.90233
150	45126.342
151	45098.98014
152	45026.13664
153	44983.10882
154	44916.01589
155	44893.00329
156	44841.55863
157	44784.85885
158	44700.15728
159	44640.79582
160	44561.44842
161	44526.73592
162	44462.17467
163	44409.68673
164	44369.07913
165	44300.73891
166	44253.94539
167	44218.96317
168	44174.35173
169	44139.11569
170	44109.3871
171	44040.49574
172	44003.78644
173	43962.46905
174	43906.67839
175	43857.60914
176	43798.30484
177	43761.81465
178	43705.57902
179	43696.545
180	43655.68458
181	43587.88191
182	43494.74569
183	43414.32941
184	43352.19317
185	43309.87794
186	43269.34738
187	43240.29499
188	43208.11559
189	43156.85749
190	43136.11772
191	43121.62677
192	43044.33818
193	43033.06074
194	43011.02723
195	43007.63665
196	42964.14904
197	42929.40337
198	42904.50174
199	42863.53789
200	42812.25298
201	42750.89047
202	42684.35542
203	42636.69639
204	42590.15588
205	42513.65232
206	42509.63957
207	42470.27846
208	42436.09823
209	42390.72404
210	42332.7948
211	42329.05091
212	42285.76885
213	42241.38171
214	42190.95123
215	42149.80488
216	42085.43513
217	42028.20592
218	41974.6305
219	41914.23692
220	41910.6273
221	41836.89454
222	41827.0702
223	41763.24934
224	41718.43357
225	41631.58311
226	41580.13742
227	41534.53667
228	41486.42113
229	41415.56456
230	41361.36966
231	41309.17308
232	41271.25638
233	41216.83413
234	41172.28615
235	41133.61685
236	41123.76877
237	41080.89843
238	41044.37995
239	41028.13703
240	40973.18062
241	40947.71509
242	40872.65041
243	40831.68729
244	40790.03085
245	40746.52436
246	40702.51458
247	40684.10951
248	40632.27073
249	40580.71323
250	40538.68001
251	40483.89736
252	40444.35431
253	40386.15105
254	40325.62212
255	40269.58635
256	40227.32253
257	40188.75406
258	40158.76295
259	40118.67856
260	40102.61696
261	40068.56953
262	40037.01948
263	39983.52389
264	39950.37706
265	39933.01728
266	39885.32272
267	39842.52436
268	39793.68472
269	39748.8245
270	39699.94875
271	39647.21274
272	39636.1557
273	39569.92778
274	39521.88832
275	39473.9952
276	39424.20392
277	39376.927
278	39330.21305
279	39284.01255
280	39243.22001
281	39206.03135
282	39139.54791
283	39093.98562
284	39050.01171
285	39008.96757
286	38978.31881
287	38937.10172
288	38907.12828
289	38851.44238
290	38807.09966
291	38771.77184
292	38741.75897
293	38691.73542
294	38623.68043
295	38608.75451
296	38555.97288
297	38548.765
298	38506.63417
299	38461.10656
300	38418.77116
301	38378.82338
302	38348.50683
303	38309.27941
304	38274.74795
305	38221.67138
306	38175.2711
307	38141.46434
308	38082.35758
309	38070.51681
310	38030.77899
311	37974.50779
312	37942.64935
313	37908.50354
314	37865.13678
315	37838.4991
316	37807.86116
317	37780.38238
318	37752.45821
319	37705.60197
320	37661.81101
321	37635.62456
322	37607.95953
323	37574.57176
324	37529.92534
325	37502.37366
326	37479.64436
327	37455.62587
328	37423.50285
329	37388.83064
330	37331.59246
331	37305.26661
332	37272.48925
333	37227.38677
334	37198.8278
335	37171.85851
336	37139.61039
337	37109.99082
338	37086.18763
339	37077.13895
340	37048.40307
341	37014.21757
342	37002.0616
343	36995.43703
344	36969.61783
345	36938.40113
346	36896.44952
347	36865.77489
348	36825.28056
349	36792.62128
350	36755.91279
351	36719.57246
352	36690.07936
353	36657.68917
354	36620.02486
355	36586.85481
356	36551.13974
357	36508.19674
358	36472.43247
359	36435.38751
360	36413.04579
361	36390.1634
362	36368.64848
363	36347.89012
364	36320.97978
365	36294.27552
366	36253.61808
367	36219.52694
368	36200.62103
369	36197.26136
370	36160.23339
371	36117.8647
372	36083.87405
373	36062.47856
374	36022.77321
375	35997.13356
376	35972.56012
377	35941.89629
378	35902.70307
379	35869.21402
380	35843.13455
381	35807.24126
382	35778.8269
383	35747.4923
384	35697.81352
385	35662.24289
386	35622.86567
387	35574.09027
388	35557.21985
389	35518.98666
390	35483.21838
391	35460.99434
392	35417.96251
393	35388.47831
394	35375.62193
395	35349.011
396	35325.79856
397	35302.3926
398	35271.19625
399	35246.38242
400	35199.70282
401	35180.14225
402	35152.58049
403	35115.98308
404	35077.98207
405	35055.58872
406	35029.10003
407	35006.62421
408	34977.62897
409	34954.95362
410	34924.79363
411	34906.87492
412	34879.22558
413	34855.18135
414	34819.63586
415	34801.04567
416	34767.33726
417	34727.59062
418	34698.85856
419	34673.09676
420	34667.83604
421	34629.26166
422	34608.28251
423	34578.59281
424	34549.26751
425	34518.2471
426	34497.77124
427	34472.67935
428	34447.82741
429	34409.03282
430	34394.56955
431	34371.75068
432	34342.79186
433	34335.66533
434	34305.85492
435	34282.1495
436	34250.11538
437	34238.053
438	34199.89488
439	34172.83112
440	34135.57285
441	34106.11744
442	34089.68886
443	34056.1974
444	34031.64143
445	34014.84653
446	34009.67251
447	33979.75497
448	33944.5088
449	33916.07901
450	33890.48623
451	33863.65006
452	33853.38666
453	33827.05693
454	33802.06722
455	33774.57582
456	33747.67722
457	33716.94628
458	33691.56641
459	33674.36689
460	33639.85785
461	33604.67221
462	33573.41334
463	33553.72171
464	33537.10958
465	33510.49899
466	33492.14612
467	33453.93083
468	33433.71978
469	33406.68254
470	33376.07023
471	33373.84337
472	33341.07487
473	33304.37108
474	33285.85293
475	33256.48426
476	33231.78749
477	33208.0814
478	33186.60153
479	33168.70086
480	33127.12606
481	33101.94896
482	33070.37141
483	33032.60287
484	33007.60835
485	32976.22215
486	32958.2205
487	32933.29908
488	32907.46861
489	32891.06506
490	32888.14873
491	32861.65023
492	32837.0418
493	32815.31435
494	32779.51705
495	32774.35102
496	32746.07195
497	32726.38291
498	32706.66463
499	32675.30858
500	32662.78805
501	32640.6322
502	32621.88326
503	32602.22162
504	32568.66836
505	32552.36549
506	32520.66746
507	32498.20858
508	32462.51326
509	32460.19725
510	32431.0163
511	32408.63532
512	32391.49598
513	32389.67478
514	32367.42422
515	32333.77604
516	32318.88611
517	32315.58147
518	32289.31601
519	32255.85975
520	32231.12558
521	32206.72357
522	32181.07367
523	32155.45875
524	32135.65757
525	32110.17546
526	32089.96486
527	32058.39502
528	32046.27886
529	32024.08001
530	32001.3319
531	31983.35041
532	31945.91198
533	31916.97607
534	31882.52672
535	31861.03785
536	31832.49982
537	31809.43097
538	31788.72216
539	31769.26795
540	31738.52329
541	31718.48087
542	31688.54996
543	31669.66493
544	31649.83673
545	31630.2348
546	31625.2069
547	31598.34405
548	31570.52994
549	31547.25245
550	31518.78714
551	31494.04872
552	31468.55214
553	31443.9602
554	31428.45378
555	31402.80751
556	31401.34054
557	31371.27527
558	31346.15071
559	31321.16888
560	31301.06988
561	31279.02033
562	31259.85862
563	31234.22099
564	31213.25764
565	31193.86014
566	31172.18539
567	31158.12541
568	31131.61159
569	31103.33452
570	31083.40605
571	31064.80698
572	31047.97202
573	31023.5052
574	31003.25623
575	30982.57785
576	30971.69455
577	30951.73971
578	30930.73983
579	30909.10277
580	30886.17007
581	30856.91894
582	30840.17406
583	30819.96615
584	30800.57436
585	30780.26612
586	30764.62657
587	30740.37797
588	30728.25229
589	30705.60266
590	30683.71681
591	30652.64494
592	30637.05747
593	30616.80033
594	30599.15221
595	30581.07066
596	30566.64697
597	30540.37182
598	30527.07663
599	30510.71587
600	30487.40442
601	30469.48136
602	30455.15821
603	30434.23983
604	30415.78672
605	30394.76117
606	30390.57708
607	30376.1461
608	30354.88064
609	30336.69683
610	30315.06507
611	30312.98555
612	30292.17651
613	30274.41013
614	30256.93097
615	30230.79162
616	30210.04509
617	30195.33352
618	30181.2918
619	30155.05393
620	30153.76108
621	30125.23125
622	30104.18366
623	30088.87229
624	30063.7254
625	30059.77946
626	30040.53256
627	30015.45697
628	29989.59273
629	29968.47419
630	29944.55096
631	29922.93148
632	29907.30455
633	29880.74193
634	29857.59931
635	29828.99156
636	29814.89655
637	29790.6915
638	29788.55429
639	29767.44559
640	29752.23394
641	29751.26468
642	29734.84731
643	29717.70316
644	29704.53324
645	29687.2081
646	29660.15919
647	29633.65788
648	29614.7336
649	29596.84003
650	29580.19031
651	29563.40435
652	29545.41957
653	29525.70683
654	29507.91078
655	29494.53603
656	29485.43405
657	29475.67776
658	29463.83952
659	29445.28342
660	29416.99725
661	29404.77127
662	29385.36646
663	29367.53678
664	29345.51728
665	29332.99353
666	29323.23939
667	29322.02514
668	29301.23075
669	29286.8163
670	29274.39397
671	29255.95658
672	29235.49928
673	29209.42172
674	29187.77587
675	29169.81557
676	29150.46902
677	29127.46722
678	29106.5792
679	29083.82185
680	29069.73988
681	29051.66594
682	29021.41617
683	29005.97499
684	28998.42738
685	28995.06388
686	28971.54201
687	28952.50845
688	28934.92446
689	28926.36393
690	28914.30556
691	28895.80301
692	28867.2146
693	28852.9712
694	28838.08581
695	28822.69723
696	28806.09782
697	28792.35351
698	28758.38224
699	28748.56632
700	28727.13539
701	28703.85601
702	28690.95971
703	28672.27597
704	28658.8765
705	28650.17477
706	28624.41312
707	28604.84389
708	28577.38685
709	28560.79649
710	28541.13265
711	28529.0005
712	28513.9158
